country,region,eu_member,sector,asset_class,investment_eur,size_factor,cpi_score,climate_vuln,hdi,ghg_intensity,gender_factor,social_factor,dim_climate,dim_water,dim_gender,dim_social,dim_territory,dim_governance,dim_pollution,dim_innovation,idris_score,idris_band,taxonomy_eligible,taxonomy_aligned,dnsh_pass,sc_score,sfdr_article,pai_score,tcfd_physical,tcfd_transition,mifid_suitability,mifid_profile,csrd_in_scope,impact_material,financial_material
Belgium,Western Europe,True,Sustainable Agriculture,Project Finance,1755.8,0.0151,73,0.316,0.937,0.321,0.581,0.805,64.1,66.9,81.6,64.2,53.8,80.8,67.6,57.2,69.44,Green,True,True,True,68.5,Article 8,72.0,Low,Medium,7.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Germany,Western Europe,True,Sustainable Agriculture,Green Bond,1187839.42,0.6409,78,0.364,0.942,0.253,0.517,0.868,68.3,63.8,77.6,79.4,65.4,85.3,75.3,63.8,74.2,Green,True,True,True,74.5,Article 9,73.9,Low,Medium,8.9,Sustainability-focused (MiFID Art. 9 preference),False,False,True
Egypt,MENA,False,Clean Transportation,Microfinance / Social Bond,142006.86,0.4369,35,0.67,0.728,0.086,0.56,0.788,76.9,60.2,44.9,61.4,61.3,23.6,85.2,86.4,58.98,Green,True,True,True,78.4,Article 8,63.7,High,Low,5.4,ESG-integrated (MiFID Art. 8 preference),False,True,False
Bangladesh,South Asia,False,Manufacturing (conventional),Private Equity / Venture,69809.11,0.3688,24,0.784,0.661,0.664,0.474,0.435,13.2,14.2,34.7,36.0,52.9,13.5,27.8,54.7,28.16,Red,False,False,False,0.0,Article 6,42.3,High,High,1.8,Conventional (Article 6 compatible),False,True,False
Colombia,Latin America,False,Financial Inclusion,Green Bond,7817.25,0.1585,39,0.449,0.752,0.159,0.685,0.847,50.9,59.6,59.3,61.3,54.0,35.2,66.0,76.2,55.76,Amber,False,False,False,0.0,Article 8,67.1,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
South Korea,East Asia,False,Microfinance,SME Debt,71278.13,0.3708,63,0.32,0.929,0.116,0.607,0.97,62.0,62.3,71.2,74.1,47.3,46.4,67.5,55.6,62.31,Green,False,False,False,0.0,Article 8,73.0,Low,Medium,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Pakistan,South Asia,False,Green Building / Real Estate,Private Equity / Venture,72778.08,0.3728,29,0.735,0.544,0.299,0.598,0.628,61.4,54.1,42.9,49.4,62.0,21.7,77.5,54.5,50.62,Amber,True,False,False,62.3,Article 8,56.9,High,Medium,4.6,Conventional (Article 6 compatible),False,True,False
Bangladesh,South Asia,False,Green Building / Real Estate,SME Debt,261274.57,0.4955,24,0.858,0.661,0.217,0.504,0.6,60.6,50.6,41.2,49.8,58.2,18.8,76.6,52.1,48.92,Amber,True,False,False,66.6,Article 6,55.5,High,Medium,3.9,Conventional (Article 6 compatible),False,True,False
Sri Lanka,South Asia,False,Sustainable Agriculture,Project Finance,1261527.22,0.6467,34,0.656,0.782,0.295,0.519,0.781,60.3,54.9,43.9,66.0,56.2,38.4,73.6,60.6,55.17,Amber,True,True,True,64.4,Article 8,58.5,High,Medium,5.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sri Lanka,South Asia,False,Sustainable Agriculture,Project Finance,2230.31,0.0381,34,0.612,0.782,0.304,0.761,0.798,61.4,58.8,69.8,57.2,51.5,32.6,75.2,47.9,57.68,Amber,True,True,True,64.8,Article 8,62.4,Medium,Medium,6.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Austria,Western Europe,True,Food & Nutrition,Microfinance / Social Bond,325864.21,0.5167,74,0.216,0.916,0.354,0.714,0.831,43.1,66.8,90.4,67.1,59.7,70.1,41.4,60.1,64.27,Green,False,False,False,0.0,Article 8,73.3,Low,High,5.9,ESG-integrated (MiFID Art. 8 preference),False,True,False
Mexico,Latin America,False,Digital Infrastructure,SME Debt,133266.09,0.4308,31,0.51,0.758,0.314,0.397,0.527,45.8,61.9,39.7,46.7,56.4,15.6,48.8,86.6,45.08,Amber,False,False,False,0.0,Article 6,53.5,Medium,Medium,4.5,Conventional (Article 6 compatible),False,False,False
Ghana,Sub-Saharan Africa,False,Microfinance,Project Finance,2496.11,0.0489,43,0.646,0.632,0.131,0.619,0.816,58.1,59.4,60.5,54.9,55.2,40.0,63.7,46.4,55.12,Amber,False,False,False,0.0,Article 8,66.8,Medium,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Bangladesh,South Asia,False,Affordable Housing,Project Finance,48874334.05,0.9978,24,0.739,0.661,0.214,0.569,0.883,49.8,56.1,42.1,72.2,63.9,24.1,59.1,69.9,51.52,Amber,False,False,False,0.0,Article 8,58.0,High,Medium,4.7,Conventional (Article 6 compatible),False,False,False
South Africa,Sub-Saharan Africa,False,SME Finance,SME Debt,295931.13,0.5074,41,0.644,0.713,0.333,0.547,0.8,38.4,55.4,51.5,65.3,57.1,26.5,47.9,55.0,48.07,Amber,False,False,False,0.0,Article 6,58.1,Medium,Medium,4.8,Conventional (Article 6 compatible),False,False,False
Tunisia,MENA,False,Biodiversity / Nature,Real Estate,4844909.16,0.7759,40,0.669,0.731,0.103,0.686,0.75,76.1,51.4,61.6,64.6,55.4,24.3,87.7,59.4,60.23,Green,True,True,True,77.9,Article 8,66.6,High,Low,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Vietnam,Southeast Asia,False,Sustainable Agriculture,Project Finance,211664.06,0.4753,41,0.61,0.703,0.335,0.518,0.747,56.8,59.5,54.1,62.7,59.7,32.5,69.1,57.9,55.25,Amber,True,True,True,62.0,Article 8,58.2,Medium,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Kazakhstan,Central Asia,False,Microfinance,Project Finance,913593.47,0.6157,36,0.485,0.811,0.236,0.743,1.0,48.5,60.8,62.9,79.7,48.5,31.8,57.0,63.3,56.27,Amber,False,False,False,0.0,Article 8,64.9,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Greece,Southern Europe,True,Biodiversity / Nature,Green Bond,3283.73,0.0752,49,0.419,0.887,0.062,0.647,0.637,82.9,62.1,68.2,54.8,50.9,61.6,94.6,53.6,67.75,Green,True,True,True,83.4,Article 8,73.7,Medium,Low,7.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Belgium,Western Europe,True,Social Infrastructure,Microfinance / Social Bond,165560.69,0.4517,73,0.299,0.937,0.0,0.632,1.0,86.9,63.9,79.8,81.0,57.6,67.5,91.5,59.2,76.31,Dark Green,True,True,True,90.5,Article 9,80.8,Low,Medium,9.1,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Senegal,Sub-Saharan Africa,False,Food & Nutrition,Project Finance,3230034.41,0.7369,43,0.707,0.511,0.594,0.756,0.826,21.3,17.1,63.5,66.9,60.8,37.1,32.9,57.3,45.1,Amber,False,False,False,0.0,Article 6,55.9,High,High,3.5,Conventional (Article 6 compatible),False,True,False
Argentina,Latin America,False,Microfinance,Green Bond,577817.34,0.5717,37,0.473,0.842,0.271,0.589,0.784,42.2,56.1,52.7,71.7,51.1,34.1,51.8,61.8,51.46,Amber,False,False,False,0.0,Article 8,61.5,Medium,Medium,5.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
United Kingdom,Western Europe,False,SME Finance,Real Estate,40997429.1,0.9809,71,0.28,0.929,0.329,0.601,0.748,53.2,66.0,80.2,73.6,55.2,43.3,50.6,77.6,62.57,Green,False,False,False,0.0,Article 8,68.3,Low,Medium,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
Turkey,MENA,False,Energy Efficiency,Green Bond,83061.47,0.3854,34,0.505,0.838,0.122,0.504,0.666,75.1,60.6,46.0,64.7,49.6,33.8,83.9,88.9,60.03,Green,True,True,True,76.7,Article 8,63.3,Medium,Low,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Austria,Western Europe,True,Clean Transportation,Project Finance,2772.03,0.059,74,0.252,0.916,0.09,0.598,0.647,77.4,68.0,77.8,52.5,51.8,76.4,89.5,80.5,72.2,Green,True,True,True,83.5,Article 9,78.9,Low,Low,8.7,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Portugal,Southern Europe,True,Water & Sanitation,Microfinance / Social Bond,3909849.98,0.7553,62,0.359,0.866,0.0,0.665,0.908,89.2,68.1,76.2,75.2,64.7,56.9,94.4,92.0,76.68,Dark Green,True,True,True,90.7,Article 9,78.0,Low,Medium,9.2,Sustainability-focused (MiFID Art. 9 preference),False,False,True
United Kingdom,Western Europe,False,Energy Efficiency,Microfinance / Social Bond,37758887.2,0.973,71,0.247,0.929,0.188,0.585,0.704,70.9,66.2,70.6,66.7,52.1,46.9,79.5,100.0,67.33,Green,True,True,True,75.6,Article 8,72.4,Low,Low,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Renewable Energy,Microfinance / Social Bond,23826.44,0.2655,85,0.161,0.952,0.161,0.66,0.686,76.0,62.4,91.6,58.5,53.6,76.0,77.0,81.0,74.03,Green,True,True,True,80.0,Article 9,80.5,Low,Low,8.9,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Bolivia,Latin America,False,Extractive Industry,SME Debt,2271.76,0.0399,31,0.553,0.698,0.828,0.331,0.319,3.3,18.0,30.5,30.1,54.5,18.2,8.1,51.6,23.65,Red,False,False,False,0.0,Article 6,37.9,Medium,High,1.4,Conventional (Article 6 compatible),False,True,False
Portugal,Southern Europe,True,Digital Infrastructure,Green Bond,22998819.68,0.9254,62,0.373,0.866,0.272,0.495,0.721,53.2,58.9,64.0,69.6,65.6,75.1,55.3,94.4,65.25,Green,False,False,False,0.0,Article 8,68.9,Low,Medium,7.0,ESG-integrated (MiFID Art. 8 preference),True,False,True
Vietnam,Southeast Asia,False,Social Infrastructure,Green Bond,1845.75,0.0199,41,0.571,0.703,0.136,0.676,0.939,73.2,55.1,60.5,62.4,42.3,35.6,82.1,46.8,58.79,Green,True,True,True,75.4,Article 8,67.3,Medium,Medium,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Czech Republic,Eastern Europe,True,Financial Inclusion,Real Estate,241966.36,0.4881,57,0.354,0.9,0.124,0.673,0.915,59.8,63.8,77.0,68.1,65.1,61.8,66.3,84.5,67.67,Green,False,False,False,0.0,Article 8,74.3,Low,Medium,7.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
South Africa,Sub-Saharan Africa,False,Social Infrastructure,Project Finance,1313672.28,0.6506,41,0.653,0.713,0.0,0.856,0.819,77.1,56.8,73.7,70.6,56.7,40.1,91.9,59.3,67.05,Green,True,True,True,86.8,Article 8,74.6,High,Medium,6.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Greece,Southern Europe,True,SME Finance,Project Finance,8016426.82,0.8242,49,0.483,0.887,0.329,0.651,0.739,41.1,61.5,73.0,65.7,64.2,63.9,54.7,67.5,61.02,Green,False,False,False,0.0,Article 8,66.2,Medium,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,True
Morocco,MENA,False,Biodiversity / Nature,SME Debt,25725406.28,0.9362,38,0.643,0.683,0.019,0.537,0.854,81.0,58.0,52.6,75.6,59.3,15.3,94.8,62.9,61.37,Green,True,True,True,83.4,Article 8,65.0,Medium,Low,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Italy,Southern Europe,True,Private Equity (diversified),Green Bond,25620563.89,0.9358,56,0.437,0.895,0.489,0.642,0.687,38.0,25.6,71.8,66.0,71.0,66.6,42.0,66.0,56.99,Amber,False,False,False,0.0,Article 8,63.3,Medium,High,5.2,ESG-integrated (MiFID Art. 8 preference),True,False,True
Colombia,Latin America,False,Social Infrastructure,Private Equity / Venture,5985855.69,0.7962,39,0.525,0.752,0.092,0.732,0.995,81.6,63.2,72.5,82.6,56.5,21.5,93.6,65.7,67.69,Green,True,True,True,81.5,Article 8,68.1,Medium,Medium,7.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
South Africa,Sub-Saharan Africa,False,Clean Transportation,Project Finance,72996.71,0.373,41,0.553,0.713,0.076,0.524,0.725,80.2,54.2,54.7,58.3,53.8,39.6,90.4,88.6,63.06,Green,True,True,True,80.7,Article 8,66.6,Medium,Low,6.8,ESG-integrated (MiFID Art. 8 preference),False,True,False
Greece,Southern Europe,True,Sustainable Agriculture,Real Estate,317836.88,0.5143,49,0.482,0.887,0.371,0.719,0.765,56.7,54.2,73.8,68.6,59.3,47.4,68.1,60.0,61.85,Green,True,True,True,62.5,Article 8,64.7,Medium,Medium,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Vietnam,Southeast Asia,False,Circular Economy,Project Finance,12156188.04,0.8642,41,0.576,0.703,0.16,0.596,0.749,74.9,61.1,52.2,66.3,64.5,32.8,86.5,99.2,63.44,Green,True,True,True,75.8,Article 8,64.8,Medium,Low,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
New Zealand,Oceania,False,Extractive Industry,Real Estate,18354.24,0.2405,85,0.274,0.937,0.835,0.215,0.413,10.9,21.9,58.1,49.7,44.7,50.7,16.1,53.5,38.77,Red,False,False,False,0.0,Article 6,50.1,Low,High,2.9,Conventional (Article 6 compatible),False,True,False
United Kingdom,Western Europe,False,Affordable Housing,Private Equity / Venture,2478239.03,0.7115,71,0.201,0.929,0.27,0.636,0.874,44.5,70.6,81.9,80.9,52.7,47.9,53.8,65.0,62.84,Green,False,False,False,0.0,Article 8,71.4,Low,Medium,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
Netherlands,Western Europe,True,Private Equity (diversified),Green Bond,12631119.85,0.8679,79,0.259,0.941,0.28,0.408,0.669,57.0,68.8,74.2,72.2,58.3,76.4,58.5,62.3,67.13,Green,False,False,False,0.0,Article 8,70.9,Low,High,6.2,ESG-integrated (MiFID Art. 8 preference),True,False,True
Bangladesh,South Asia,False,Healthcare,Green Bond,504277.84,0.5586,24,0.77,0.661,0.214,0.751,0.933,50.5,58.8,56.5,69.2,63.1,19.5,60.3,60.0,53.08,Amber,False,False,False,0.0,Article 8,60.8,High,Medium,4.8,Conventional (Article 6 compatible),False,False,False
Brazil,Latin America,False,Microfinance,Private Equity / Venture,1590.77,0.0056,36,0.593,0.76,0.106,0.747,0.804,47.7,59.0,65.1,56.5,50.8,23.2,70.2,49.4,52.32,Amber,False,False,False,0.0,Article 8,67.2,Medium,Medium,5.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Peru,Latin America,False,Circular Economy,Real Estate,26480.07,0.2757,40,0.541,0.762,0.142,0.529,0.737,76.6,59.5,52.5,54.3,55.1,24.3,81.2,88.1,58.64,Green,True,True,True,74.9,Article 8,63.2,Medium,Low,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Argentina,Latin America,False,Water & Sanitation,Green Bond,19311326.23,0.9087,37,0.577,0.842,0.073,0.6,0.905,80.6,64.7,55.8,75.3,50.2,29.0,88.3,95.9,65.1,Green,True,True,True,81.7,Article 8,66.2,Medium,Medium,7.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Denmark,Northern Europe,True,Water & Sanitation,Microfinance / Social Bond,293077.87,0.5065,90,0.151,0.948,0.147,0.623,0.851,84.2,62.4,92.9,73.1,59.5,78.4,84.0,88.8,79.94,Dark Green,True,True,True,83.1,Article 9,81.4,Low,Medium,9.5,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Norway,Northern Europe,False,Digital Infrastructure,Project Finance,16295.04,0.229,84,0.198,0.966,0.272,0.422,0.59,47.4,66.5,74.0,57.7,44.7,65.8,54.9,88.9,61.57,Green,False,False,False,0.0,Article 8,71.5,Low,Medium,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
United States,North America,False,Extractive Industry,SME Debt,982167.09,0.6226,69,0.4,0.926,0.854,0.447,0.369,5.2,23.4,65.2,51.1,48.5,42.5,10.1,66.3,38.77,Red,False,False,False,0.0,Article 6,49.6,Medium,High,2.9,Conventional (Article 6 compatible),False,True,False
Belgium,Western Europe,True,Healthcare,Microfinance / Social Bond,264449.81,0.4966,73,0.301,0.937,0.149,0.772,0.939,63.1,61.5,94.3,81.5,55.6,65.2,63.0,60.3,71.51,Green,False,False,False,0.0,Article 8,79.0,Low,Medium,7.7,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Australia,Oceania,False,Sustainable Agriculture,Green Bond,1896961.98,0.6858,75,0.416,0.951,0.237,0.691,0.836,72.6,60.8,85.6,76.4,48.7,62.3,74.4,69.3,71.35,Green,True,True,True,74.3,Article 8,74.5,Medium,Medium,7.6,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Belgium,Western Europe,True,Private Equity (diversified),Real Estate,249479.49,0.491,73,0.362,0.937,0.337,0.534,0.511,38.5,58.4,73.2,59.5,60.3,67.8,52.8,58.8,58.96,Green,False,False,False,0.0,Article 8,69.2,Low,High,5.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
New Zealand,Oceania,False,Renewable Energy,Real Estate,4856.18,0.1128,85,0.287,0.937,0.03,0.496,0.683,84.5,67.3,78.9,59.1,44.8,56.1,97.6,82.7,71.95,Green,True,True,True,87.0,Article 8,78.5,Low,Low,7.7,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Tunisia,MENA,False,Water & Sanitation,Green Bond,9701.57,0.1793,40,0.525,0.731,0.142,0.67,0.745,76.9,60.8,61.0,58.6,58.3,40.2,87.2,78.2,63.83,Green,True,True,True,77.0,Article 8,67.6,Medium,Medium,6.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Affordable Housing,Real Estate,55507.88,0.3467,85,0.234,0.952,0.331,0.678,0.963,44.6,63.6,90.6,76.6,52.5,80.5,46.3,55.9,66.99,Green,False,False,False,0.0,Article 8,76.2,Low,Medium,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Nigeria,Sub-Saharan Africa,False,Energy Efficiency,Microfinance / Social Bond,20290.55,0.2501,25,0.723,0.535,0.071,0.455,0.68,75.0,61.4,32.9,49.0,59.7,13.9,89.6,87.9,53.43,Amber,True,False,False,77.1,Article 8,59.0,High,Low,4.8,Conventional (Article 6 compatible),False,False,False
Argentina,Latin America,False,Extractive Industry,Real Estate,1381042.91,0.6554,37,0.639,0.842,0.784,0.187,0.365,10.6,22.1,25.1,39.5,49.5,25.2,16.9,61.5,27.76,Red,False,False,False,0.0,Article 6,37.8,Medium,High,1.8,Conventional (Article 6 compatible),False,True,False
Ethiopia,Sub-Saharan Africa,False,Digital Infrastructure,Green Bond,3180215.86,0.7355,37,0.81,0.492,0.325,0.385,0.622,37.7,51.2,32.3,55.2,71.0,37.1,48.3,85.3,46.81,Amber,False,False,False,0.0,Article 6,54.7,High,Medium,3.7,Conventional (Article 6 compatible),False,False,False
Australia,Oceania,False,Microfinance,SME Debt,52443.7,0.3413,75,0.363,0.951,0.161,0.654,0.778,58.5,60.7,83.0,71.2,43.4,54.1,62.6,55.2,63.84,Green,False,False,False,0.0,Article 8,75.4,Low,Medium,6.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Egypt,MENA,False,Renewable Energy,Project Finance,8198798.57,0.8264,35,0.734,0.728,0.019,0.629,0.712,82.3,53.9,55.0,63.0,63.5,35.8,93.3,91.0,64.81,Green,True,False,False,84.8,Article 8,67.8,High,Low,6.0,ESG-integrated (MiFID Art. 8 preference),False,True,False
United States,North America,False,Financial Inclusion,Project Finance,6879.77,0.1463,69,0.314,0.926,0.09,0.758,0.844,59.1,59.8,89.8,65.0,42.7,52.7,66.5,79.7,65.88,Green,False,False,False,0.0,Article 8,78.4,Low,Medium,7.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Portugal,Southern Europe,True,Water & Sanitation,Real Estate,6086.84,0.1345,62,0.396,0.866,0.268,0.609,0.892,65.8,62.9,72.6,68.5,54.9,58.8,74.9,75.4,66.9,Green,True,True,True,70.7,Article 8,69.4,Low,Medium,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Canada,North America,False,Energy Efficiency,SME Debt,71821.93,0.3715,76,0.214,0.936,0.114,0.567,0.756,83.5,64.4,86.1,65.8,49.0,48.9,93.1,85.3,72.94,Green,True,True,True,82.4,Article 9,75.5,Low,Low,8.8,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Italy,Southern Europe,True,Water & Sanitation,Private Equity / Venture,100575.51,0.4038,56,0.404,0.895,0.098,0.573,0.669,77.6,65.4,67.9,64.6,60.6,49.0,89.5,86.0,68.79,Green,True,True,True,81.6,Article 8,71.4,Medium,Medium,7.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Peru,Latin America,False,Water & Sanitation,Real Estate,2546.12,0.0508,40,0.528,0.762,0.128,0.601,0.786,68.0,57.7,52.3,53.5,50.4,27.6,85.3,77.1,56.65,Amber,True,True,True,75.0,Article 8,65.3,Medium,Medium,6.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
India,South Asia,False,Healthcare,Real Estate,398317.17,0.536,39,0.552,0.633,0.215,0.613,0.949,50.5,61.6,55.4,73.2,53.8,23.9,62.2,58.6,53.7,Amber,False,False,False,0.0,Article 8,62.5,Medium,Medium,5.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Germany,Western Europe,True,Energy Efficiency,Microfinance / Social Bond,2435309.23,0.7098,78,0.226,0.942,0.124,0.502,0.613,80.3,63.7,73.1,65.5,64.5,73.5,84.7,96.7,74.43,Green,True,True,True,82.3,Article 9,76.7,Low,Low,8.9,Sustainability-focused (MiFID Art. 9 preference),False,False,True
Netherlands,Western Europe,True,SME Finance,Green Bond,29433544.05,0.9491,79,0.333,0.941,0.297,0.593,0.706,49.4,61.2,80.7,73.5,63.1,80.4,49.3,72.1,67.33,Green,False,False,False,0.0,Article 8,73.9,Low,Medium,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,True
Australia,Oceania,False,Sustainable Agriculture,Project Finance,3163230.8,0.7349,75,0.377,0.951,0.457,0.585,0.813,61.0,25.5,81.0,71.1,43.2,61.4,64.7,61.8,62.73,Green,True,True,True,57.7,Article 8,66.5,Low,Medium,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
Hungary,Eastern Europe,True,Financial Inclusion,Real Estate,688501.86,0.5885,42,0.553,0.854,0.186,0.665,0.864,47.3,60.6,61.3,72.4,62.2,49.8,60.3,89.2,60.31,Green,False,False,False,0.0,Article 8,67.4,Medium,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Indonesia,Southeast Asia,False,Water & Sanitation,Microfinance / Social Bond,816604.77,0.6049,34,0.657,0.705,0.131,0.64,0.88,73.5,60.4,57.8,74.1,59.0,26.2,84.0,88.5,63.08,Green,True,True,True,77.4,Article 8,64.1,High,Medium,5.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
Ghana,Sub-Saharan Africa,False,Social Infrastructure,Real Estate,1800.05,0.0175,43,0.766,0.632,0.016,0.686,0.872,79.7,52.4,58.9,56.2,53.2,27.4,97.1,43.8,59.46,Green,True,False,False,82.8,Article 8,69.4,High,Medium,5.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Belgium,Western Europe,True,Private Equity (diversified),Real Estate,526596.32,0.5628,73,0.261,0.937,0.287,0.638,0.692,49.9,66.0,83.1,62.1,50.7,64.9,58.9,66.2,63.86,Green,False,False,False,0.0,Article 8,72.8,Low,High,5.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Colombia,Latin America,False,Healthcare,Real Estate,4964551.3,0.7782,39,0.738,0.752,0.255,0.762,0.723,48.4,54.6,65.5,67.9,59.2,25.6,57.2,62.7,54.43,Amber,False,False,False,0.0,Article 8,63.4,High,Medium,4.9,Conventional (Article 6 compatible),False,False,False
Spain,Southern Europe,True,Financial Inclusion,Microfinance / Social Bond,3263639.35,0.7379,60,0.3,0.905,0.127,0.67,0.978,57.9,64.1,74.4,81.3,65.0,58.6,60.0,92.5,68.16,Green,False,False,False,0.0,Article 8,74.6,Low,Medium,7.3,ESG-integrated (MiFID Art. 8 preference),False,False,True
Colombia,Latin America,False,Affordable Housing,Private Equity / Venture,24900026.92,0.9331,39,0.558,0.752,0.318,0.59,0.796,42.2,58.0,57.1,72.6,61.7,24.2,55.7,68.2,52.77,Amber,False,False,False,0.0,Article 8,59.2,Medium,Medium,5.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
Egypt,MENA,False,Energy Efficiency,Project Finance,628736.96,0.5798,35,0.717,0.728,0.046,0.372,0.638,79.2,55.2,33.7,50.4,61.0,32.1,90.3,86.9,56.9,Amber,True,False,False,80.0,Article 8,61.9,High,Low,5.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Denmark,Northern Europe,True,Sustainable Agriculture,Green Bond,2419.74,0.0459,90,0.165,0.948,0.443,0.59,0.757,54.4,22.7,91.9,61.3,54.4,89.4,63.4,44.3,65.93,Green,True,True,True,59.8,Article 8,73.6,Low,Medium,7.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Kazakhstan,Central Asia,False,Biodiversity / Nature,Project Finance,49754076.46,0.9995,36,0.499,0.811,0.01,0.67,0.661,82.6,60.1,65.1,69.0,52.0,35.9,99.7,76.5,67.16,Green,True,True,True,86.2,Article 8,70.2,Medium,Low,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Ghana,Sub-Saharan Africa,False,Healthcare,Green Bond,1532004.35,0.6653,43,0.638,0.632,0.348,0.707,0.973,40.5,49.8,60.8,74.2,60.3,34.0,47.4,60.6,52.86,Amber,False,False,False,0.0,Article 8,61.9,Medium,Medium,5.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
United States,North America,False,SME Finance,Private Equity / Venture,1051659.64,0.6292,69,0.281,0.926,0.359,0.576,0.815,49.6,67.7,74.4,72.1,49.9,46.6,51.4,57.8,59.65,Green,False,False,False,0.0,Article 8,66.9,Low,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Bolivia,Latin America,False,Financial Inclusion,Green Bond,1158250.43,0.6385,31,0.591,0.698,0.216,0.551,0.768,53.3,59.2,40.6,58.6,58.8,26.6,59.2,90.3,51.27,Amber,False,False,False,0.0,Article 8,59.8,Medium,Medium,5.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Morocco,MENA,False,Extractive Industry,Microfinance / Social Bond,765693.37,0.5987,38,0.612,0.683,0.897,0.465,0.484,0.4,16.9,45.9,44.2,63.8,22.5,8.4,58.1,30.04,Red,False,False,False,0.0,Article 6,39.9,Medium,High,2.0,Conventional (Article 6 compatible),False,True,False
Tunisia,MENA,False,Water & Sanitation,SME Debt,136403.36,0.4331,40,0.645,0.731,0.056,0.574,0.853,75.2,55.8,55.8,69.5,55.2,26.2,89.7,84.5,61.99,Green,True,True,True,81.5,Article 8,66.1,Medium,Medium,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Tunisia,MENA,False,Sustainable Agriculture,Project Finance,9257.39,0.1748,40,0.633,0.731,0.294,0.663,0.77,59.7,61.1,57.8,58.7,52.3,36.2,73.7,51.0,56.05,Amber,True,True,True,64.8,Article 8,62.2,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Nigeria,Sub-Saharan Africa,False,Microfinance,Real Estate,3072484.72,0.7321,25,0.77,0.535,0.154,0.561,0.925,51.5,53.8,33.8,63.9,70.9,14.5,66.4,55.2,47.71,Amber,False,False,False,0.0,Article 6,58.6,High,Medium,3.8,Conventional (Article 6 compatible),False,False,False
